Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
PNTA_ECOLI	C6EDP5_ECOBD	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	926.4653	510	35	63	445
YFEA_ECOLI	C6EL75_ECOBD	B	Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	"2,255.20"	729	12	13	35
LEPA_ECOLI	C6EK18_ECOBD	F1	GTP-binding protein lepA	775.4714	599	7	7	21
ATMA_ECOLI	C6ECA6_ECOBD	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	"1,853.97"	898	44	66	222
PCNB_ECOLI	C6EAE1_ECOBD	B	Poly(A) polymerase (EC 2.7.7.19)	"1,071.59"	472	25	27	74
TOLC_ECOLI	C6EHV8_ECOBD	H	Outer membrane channel protein (Type I secretion outer membrane protein, TolC family)	788.4624	493	43	92	471
PLSB_ECOLI	C6EDX9_ECOBD	F1	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	"1,138.62"	807	57	79	284
DSBD_ECOLI	C6ECY9_ECOBD	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	"1,212.59"	565	7	16	93
FADJ_ECOLI	C6ELB3_ECOBD	A	Fatty acid oxidation complex subunit alpha	"1,069.54"	714	17	17	40
ATPA_ECOLI	C6EG69_ECOBD	F1	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	779.4299	513	49	65	350
	IPI:CON_00009867.3|SWISS-PROT:P13647_ECOBD			"1,133.56"	0	22	24	208
	IPI:CON_00021304.1|SWISS-PROT:P35908_ECOBD			"1,133.56"	0	45	54	793
YHFK_ECOLI	C6EGA5_ECOBD	B	Integral membrane protein, YccS/YhfK family	"2,333.18"	696	19	21	59
PTGCB_ECOLI	C6EGZ1_ECOBD	B	Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)	868.4928	477	30	39	149
BETT_ECOLI	C6EC73_ECOBD	B	Choline/carnitine/betaine transporter	974.5782	665	16	24	82
PTW3C_ECOLI	C6EJQ6_ECOBD	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	730.4458	648	31	50	251
SYA_ECOLI	C6EJT4_ECOBD	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	823.4785	876	39	41	89
FDOG_ECOLI	C6EF05_ECOBD	G	Formate dehydrogenase, alpha subunit (Formate dehydrogenase-O, major subunit)	825.5194	1016	15	16	34
PBPA_ECOLI	C6EFI0_ECOBD	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	995.5885	850	58	88	237
YEBT_ECOLI	C6EBZ5_ECOBD	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	813.4467	877	39	46	85
YDBH_ECOLI	C6EEW3_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein ydbH)	"2,367.29"	879	6	7	8
PPSA_ECOLI	C6ECQ5_ECOBD	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	"1,113.55"	792	8	8	9
OPGH_ECOLI	C6EHG3_ECOBD	B	Glycosyl transferase family 2	800.4374	837	44	63	273
ACRB_ECOLI	C6EL02_ECOBD	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	"1,495.69"	1049	66	122	635
SECY_ECOLI	C6EGG6_ECOBD	B	Preprotein translocase subunit secY	878.4843	443	32	81	1459
SECD_ECOLI	C6ELH6_ECOBD	B	Protein-export membrane protein SecD	693.3678	604	70	133	809
SYGB_ECOLI	C6EEC0_ECOBD	A	Glycyl-tRNA synthetase beta subunit (EC 6.1.1.14) (Glycine--tRNA ligase beta subunit)	"1,179.60"	689	6	6	9
YCCS_ECOLI	C6EI21_ECOBD	B	Putative uncharacterized protein	"2,360.14"	720	14	16	36
ARTP_ECOLI	C6EIB7_ECOBD	F1	Arginine transporter ATP-binding subunit (Arginine transporter subunit)	"1,100.61"	242	7	9	18
LPP_ECOLI	C6ECS8_ECOBD	I	LPP repeat-containing protein (Murein lipoprotein)	808.3871	78	11	33	458
PTFBC_ECOLI	C6EA31_ECOBD	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	"2,089.05"	563	35	49	257
	IPI:CON_00220327.3|SWISS-PROT:P04264_ECOBD			"1,066.52"	0	57	83	1235
FTSH_ECOLI	C6EH49_ECOBD	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	977.4974	647	90	169	1794
