P08200	Escherichia coli (strain K12)	icd	icdA icdE	b1136	JW1122	IDH_ECOLI		Evidence at protein level	Isocitrate and isopropylmalate dehydrogenases family	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	"GO:0051287; GO:0022900; GO:0006097; GO:0004450; GO:0000287; GO:0006099"	"3D-structure; Acetylation; Complete proteome; Direct protein sequencing; Glyoxylate bypass; Magnesium; Manganese; Metal-binding; NADP; Oxidoreductase; Phosphoprotein; Tricarboxylic acid cycle"	416		icdA	1210633	1210797	1	isocitrate	X	-	b1136	
P21866	Escherichia coli (strain K12)	kdpE		b0694	JW5096	KDPE_ECOLI	Cytoplasm. 	Evidence at protein level		KDP operon transcriptional regulatory protein kdpE	"GO:0003677; GO:0005737; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"3D-structure; Complete proteome; Cytoplasm; DNA-binding; Phosphoprotein; Transcription; Transcription regulation; Two-component regulatory system"	225		kdpE	715947	716093	-1	regulator of kdp operon	X	-	b0694	
P0ADK6	Escherichia coli (strain K12)	yibA		b3594	JW3568	YIBA_ECOLI		Evidence at protein level		Protein yibA	GO:0005488	"3D-structure; Complete proteome"	280		yibA	3621518	3621868	1	putative lyase	X	-	b3594	
P64508	Escherichia coli (strain K12)	yobF		b1824	JW1813	YOBF_ECOLI		Evidence at protein level		Uncharacterized protein yobF	GO:0034605	Complete proteome	47		yobF	1905472	1905615	-1	unknown CDS	?	?	b1824	
P64567	Escherichia coli (strain K12)	yqgB		b2939	JW2906	YQGB_ECOLI	Cytoplasm. 	Evidence at protein level	YqgB family	Uncharacterized protein yqgB	"GO:0033554; GO:0005737"	"Complete proteome; Cytoplasm"	43		yqgB	3083942	3084088	-1	orf hypothetical protein	?	?	b2939	
P64570	Escherichia coli (strain K12)	yqgC		b2940	JW2907	YQGC_ECOLI		Predicted		Uncharacterized protein yqgC		Complete proteome	71		yqgC	3084209	3084424	1	orf hypothetical protein	?	?	b2940	
P37309	Escherichia coli (strain K12)	arsR	arsE	b3501	JW3468	ARSR_ECOLI		Inferred from homology		Arsenical resistance operon repressor	"GO:0003677; GO:0005622; GO:0006355; GO:0046685; GO:0003700; GO:0006350; GO:0016564"	"Arsenical resistance; Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation"	117		arsR	3646551	3646904	1	transcriptional	?	?	b3501	
Q9JMS2	Escherichia coli (strain K12)	yuaS	ydfA	ECOK12F031		YUAS_ECOLI		Predicted		Uncharacterized protein yuaS		"Complete proteome; Plasmid"	95	Plasmid F	ydfA	1646532	1646687	1	hypothetical protein	?	?	b1571	
P75779	Escherichia coli (strain K12)	ybiX		b0804	JW5105	YBIX_ECOLI		Inferred from homology		PKHD-type hydroxylase ybiX (EC 1.14.11.-)	"GO:0031418; GO:0005506; GO:0055114; GO:0016705; GO:0016702"	"Complete proteome; Dioxygenase; Iron; Metal-binding; Oxidoreductase; Vitamin C"	225		ybiX	837753	838466	-1	putative enzyme	N	?	b0804	
P45541	Escherichia coli (strain K12)	frlC	yhfO yhfP	b4474	JW5699	FRLC_ECOLI		Predicted		Protein frlC		Complete proteome	276		frlC	3500362	3501192	1	orf hypothetical protein	N	?	b3372	b4474
P45541	Escherichia coli (strain K12)	frlC	yhfO yhfP	b4474	JW5699	FRLC_ECOLI		Predicted		Protein frlC		Complete proteome	276		frlC	3500362	3501192	1	orf hypothetical protein	N	?	b3373	b4474
P28916	Escherichia coli (strain K12)	ybfD		b0706	JW0696	YBFD_ECOLI		Inferred from homology	Transposase 11 family	H repeat-associated protein ybfD (ORF-H3)	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	253		ybfD	737315	738076	1	putative DNA ligase	N	?	b0706	
Q46861	Escherichia coli (strain K12)	ygiQ	ygiR	b4469	JW5501	YGIQ_ECOLI		Inferred from homology	UPF0313 family	UPF0313 protein ygiQ	"GO:0051539; GO:0003824; GO:0046872"	"4Fe-4S; Complete proteome; Iron; Iron-sulfur; Metal-binding; S-adenosyl-L-methionine"	739		ygiQ	3156949	3159168	-1	orf hypothetical protein	N	?	b3015	b4469
Q46861	Escherichia coli (strain K12)	ygiQ	ygiR	b4469	JW5501	YGIQ_ECOLI		Inferred from homology	UPF0313 family	UPF0313 protein ygiQ	"GO:0051539; GO:0003824; GO:0046872"	"4Fe-4S; Complete proteome; Iron; Iron-sulfur; Metal-binding; S-adenosyl-L-methionine"	739		ygiR	3156949	3159168	-1	orf hypothetical protein	N	?	b3016	b4469
P42626	Escherichia coli (strain K12)	yhaM	yhaN	b4470	JW5518	YHAM_ECOLI		Inferred from homology	UPF0597 family	UPF0597 protein yhaM		Complete proteome	436		yhaM	3253363	3254673	-1	orf hypothetical protein	N	?	b3108	b4470
